Genres Reduced,Male Count,Female Count,Male (%),Female (%)
Action,57756,19002,75.24427421245994,24.75572578754006
Adult,4435,3308,57.27754100477851,42.72245899522149
Adventure,54583,18953,74.22622932985205,25.773770670147954
Animated,2553,1580,61.77111057343334,38.22888942656666
Animation,11512,5311,68.43012542352731,31.569874576472685
Anthology,99,66,60.0,40.0
Art Film,3340,1789,65.11990641450576,34.88009358549425
Avant-Garde,759,381,66.57894736842105,33.421052631578945
Beach,133,72,64.8780487804878,35.12195121951219
Biography,10702,4969,68.29174909067704,31.708250909322956
Black Cinema,577,184,75.82128777923785,24.178712220762154
Black and White,23960,10738,69.05297135281573,30.947028647184275
Cars,1346,431,75.74563871693866,24.25436128306134
Chinese,5054,2138,70.27252502780867,29.727474972191324
Comedy,89983,47111,65.63598698703079,34.3640130129692
Crime,45690,18460,71.22369446609508,28.77630553390491
Documentary,7253,2576,73.79184047207244,26.20815952792756
Drama,139540,74783,65.10733798985643,34.89266201014357
Dystopia,1446,588,71.09144542772862,28.908554572271388
Dystopian,2152,855,71.56634519454606,28.43365480545394
Educational,95,49,65.97222222222221,34.02777777777778
Ensemble,3046,2016,60.17384433030423,39.82615566969577
Epic,2559,804,76.09277430865299,23.907225691347012
European,636,157,80.20176544766709,19.798234552332914
Exploitation,904,472,65.69767441860465,34.30232558139535
Family,20856,10181,67.19721622579502,32.80278377420498
Fantasy,16662,8208,66.99638118214718,33.00361881785284
Feminism,448,457,49.50276243093923,50.49723756906077
Fiction,38304,15039,71.80698498397166,28.193015016028344
Filipino,1040,872,54.39330543933054,45.60669456066946
Film Adaptation,10849,5464,66.50524121865996,33.49475878134003
Futuristic,339,120,73.8562091503268,26.143790849673206
Gender Issues,41,57,41.83673469387755,58.16326530612245
History,18068,7803,69.83881566232462,30.16118433767539
Holidays,998,536,65.05867014341591,34.94132985658409
Horror,22884,12440,64.78315026610802,35.21684973389197
Horror Fiction,33,12,73.33333333333333,26.666666666666668
Independent,26336,14439,64.58859595340282,35.41140404659718
Indian,8216,4352,65.37237428389561,34.62762571610439
Japanese,7396,4222,63.65983818213118,36.340161817868825
Kids,7415,3738,66.48435398547477,33.51564601452524
LBGTQ,1197,795,60.09036144578314,39.90963855421687
LGBTQ,5344,3183,62.6715140143075,37.3284859856925
Latino,35,29,54.6875,45.3125
Literary,137,38,78.28571428571428,21.714285714285715
Low Budget,3022,1468,67.30512249443207,32.69487750556792
Martial Arts,5007,1416,77.9542269967305,22.0457730032695
Medical,395,263,60.03039513677811,39.96960486322189
Music/Dance,20938,11076,65.40263634659837,34.597363653401636
Musical,2480,1315,65.34914361001317,34.65085638998682
Nature,1355,562,70.68335941575377,29.31664058424622
Philosophical,1199,444,72.97626293365795,27.023737066342058
Politics,7826,2938,72.70531400966183,27.294685990338163
Prison,1197,380,75.90361445783132,24.096385542168676
Psychological,7158,3999,64.15703146006992,35.842968539930084
Reboot,108,40,72.97297297297297,27.027027027027028
Religious,6267,2894,68.40956227486082,31.590437725139175
Remake,753,353,68.08318264014467,31.916817359855337
Romance,48446,30980,60.99514013043588,39.00485986956412
Science Fiction,21606,9385,69.71701461714692,30.282985382853084
Short Film,11852,4538,72.3123856009762,27.687614399023797
Silent,8287,4598,64.3150950717889,35.6849049282111
Social,6905,3953,63.59366365813225,36.40633634186774
Sponsored,3,1,75.0,25.0
Sport,230,84,73.24840764331209,26.751592356687897
Sports,6174,2153,74.14434970577639,25.855650294223608
Start Vehicle,24,8,75.0,25.0
Stop Motion,752,284,72.58687258687259,27.413127413127413
Teen,5455,3760,59.19696147585458,40.803038524145414
Television,5030,2949,63.04048126331621,36.95951873668379
Thriller,55130,24718,69.04368299769563,30.956317002304377
Thrillers,3496,1086,76.298559580969,23.70144041903099
USA,2332,1068,68.58823529411765,31.411764705882355
War,12728,3538,78.24910857002337,21.750891429976637
Western,10302,2586,79.93482309124768,20.065176908752328
Women,10,8,55.55555555555556,44.44444444444444
World Cinema,31152,16599,65.23842432619212,34.761575673807876
Total,944330,448222,67.8129075251768,32.1870924748232
